geography,education_group,reference_group,comparison_group,metric,unit,reference_value,comparison_value,absolute_gap,relative_gap_percent
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,600000.0,525000.0,75000.0,14.285714285714286
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,450000.0,0.0,450000.0,
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,29.09090909090909,0.0,29.09090909090909,
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,29.09090909090909,26.700784335539854,2.3901247553692357,8.951515151515157
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,600000.0,736750.0,-136750.0,-18.561248727519512
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,450000.0,540000.0,-90000.0,-16.666666666666668
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,29.09090909090909,28.210526315789473,0.8803827751196174,3.120759837177748
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,29.09090909090909,26.31578947368421,2.775119617224881,10.545454545454549
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,600000.0,390000.0,210000.0,53.84615384615385
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,29.09090909090909,25.641025641025642,3.4498834498834476,13.454545454545444
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,712500.0,813312.0,-100812.0,-12.395243153918791
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,530000.0,0.0,530000.0,
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,27.77777777777778,0.0,27.77777777777778,
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,27.77777777777778,25.641025641025642,2.1367521367521363,8.33333333333333
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,712500.0,1000000.0,-287500.0,-28.75
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,530000.0,610000.0,-80000.0,-13.114754098360656
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,27.77777777777778,23.362666458998522,4.415111318779257,18.898148148148145
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,27.77777777777778,26.68801708033093,1.0897606974468488,4.083333333333343
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,712500.0,490000.0,222500.0,45.40816326530612
Colombia (incluye Cali A.M.),Secundaria y media,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,27.77777777777778,25.0,2.7777777777777786,11.111111111111112
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,1311750.0,1666666.6666666667,-354916.66666666674,-21.295
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,700000.0,0.0,700000.0,
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,25.862068965517242,0.0,25.862068965517242,
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,25.862068965517242,24.0,1.862068965517242,7.758620689655174
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,1311750.0,1800000.0,-488250.0,-27.125
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,700000.0,900000.0,-200000.0,-22.22222222222222
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,25.862068965517242,19.115585574104752,6.7464833914124895,35.29310344827587
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,25.862068965517242,22.641509433962263,3.2205595315549793,14.224137931034493
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,1311750.0,996750.0,315000.0,31.602708803611737
Colombia (incluye Cali A.M.),"Técnico, tecnólogo o pregrado",Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,25.862068965517242,26.666666666666668,-0.8045977011494259,-3.017241379310347
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,3771000.0,3900000.0,-129000.0,-3.3076923076923075
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,1300000.0,0.0,1300000.0,
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,17.857142857142858,0.0,17.857142857142858,
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,17.857142857142858,18.095238095238095,-0.23809523809523725,-1.315789473684206
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,3771000.0,4550000.0,-779000.0,-17.12087912087912
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,1300000.0,1800000.0,-500000.0,-27.77777777777778
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,17.857142857142858,16.39344262295082,1.4637002341920393,8.928571428571441
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,17.857142857142858,17.427385892116185,0.42975696502667304,2.465986394557814
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,3771000.0,2666666.6666666665,1104333.3333333335,41.41250000000001
Colombia (incluye Cali A.M.),Postgrado,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,17.857142857142858,20.0,-2.1428571428571423,-10.714285714285712
